Title,Music_Composer,Genre
Aggi Veerudu,Ilaiyaraaja,"Romance
"
Ardharathiri,Ilaiyaraaja,Drama
Bandhipotu Bhimanna,Ilaiyaraaja,"Romance
"
Bangaru Panjaram,Ilaiyaraaja,Drama
Bhale Mastaru,Ilaiyaraaja,"Romance
"
Bhale Rangadu,Ilaiyaraaja,"Romance
"
Bhale Thammudu,Ilaiyaraaja,"Romance
"
Buddhimantudu,Ilaiyaraaja,"Romance
"
Ekaveera,Ilaiyaraaja,"Romance
"
Gandaragandudu,Ilaiyaraaja,"Romance
"
Gandikota Rahasyam,Ilaiyaraaja,"Romance
"
Gopaludu Bhoopaludu,Ilaiyaraaja,"Romance
"
Kadaladu Vadaladu,Ilaiyaraaja,"Romance
"
Kathanayakudu,Ilaiyaraaja,"Romance
"
Mamaku Tagga Kodalu,Ilaiyaraaja,"Romance
"
Manchi Mithrulu,Ilaiyaraaja,"Romance
"
Manishichina Maguva,Ilaiyaraaja,"Romance
"
Manushulu Marali,Ilaiyaraaja,"Romance
"
Mathru Devata,Ilaiyaraaja,"Romance
"
Mooga Nomu,Ilaiyaraaja,Drama
Natakala Rayudu,Ilaiyaraaja,"Romance
"
Nindu Hrudayalu,Ilaiyaraaja,Drama
Poovanam,Ilaiyaraaja,"Romance
"
Raja Simha,Ilaiyaraaja,Action
Sabash Satyam,Ilaiyaraaja,"Romance
"
Saptaswaralu,Ilaiyaraaja,Drama
Sattekalapu Satteya,Ilaiyaraaja,"Romance
"
Shri Rama Katha,Ilaiyaraaja,"Romance
"
Sipayi Chinnayya,Ilaiyaraaja,"Romance
"
Takkaridonga Chakkanichukka,Ilaiyaraaja,"Romance
"
Ukkupidugu,Ilaiyaraaja,"Romance
"
Varakatnam,Ilaiyaraaja,"Romance
"
Vichitra Kutumbam,Ilaiyaraaja,"Romance
"
Akhandudu,Ilaiyaraaja,"Romance
"
Akka Chellelu,Ilaiyaraaja,"Romance
"
Ali Baba 40 Dongalu,Ilaiyaraaja,"Romance
"
Amma Kosam,Ilaiyaraaja,"Romance
"
Balaraju Katha,Ilaiyaraaja,"Romance
"
Chitti Chellelu,Ilaiyaraaja,"Romance
"
Desamante Manushuloyi,Ilaiyaraaja,"Romance
"
Dharma Daata,Ilaiyaraaja,"Romance
"
Drohi,Ilaiyaraaja,"Romance
"
Jai Jawan,Ilaiyaraaja,"Romance
"
Kathanayika Molla,Ilaiyaraaja,"Romance
"
Kodalu Diddina Kapuram,Ilaiyaraaja,"Romance
"
Lakshmi Kataksham,Ilaiyaraaja,"Romance
"
Maa Manchi Akkayya,Ilaiyaraaja,"Romance
"
Maa Nanna Nirdhoshi,Ilaiyaraaja,"Romance
"
Malli Pelli,Ilaiyaraaja,"Romance
"
Marina Manishi,Ilaiyaraaja,"Romance
"
Maro Prapancham,Ilaiyaraaja,"Romance
"
Mayani Mamata,Ilaiyaraaja,"Romance
"
Merupu Veerudu,Ilaiyaraaja,"Romance
"
Oke Kutumbham,Ilaiyaraaja,"Romance
"
Pelli Koothuru,Ilaiyaraaja,"Romance
"
Pelli Sambandham,Ilaiyaraaja,"Romance
"
Pettandarulu,Ilaiyaraaja,"Romance
"
Sambarala Rambabu,Ilaiyaraaja,"Romance
"
Thaali Bottu,Ilaiyaraaja,"Romance
"
